# TEMPLATE ROWS AGAINST THE CATALOG STEPS THEY CLAIM -- GENERATED, do not edit.
#
#   python tools/check_template_products.py
#
# Columns: template | verdict | steps_tried | medium | class | step | missing | reading
#
# verdict      pass | partial | wrong-product | no-fire | no-substrate |
#              no-runnable-step | no-class, at the row's best step. The tool's
#              docstring says what each means, and what this cannot say.
# steps_tried  how many catalog steps of the row's classes resolved to molecules.
# medium       yes when the verdict needed water, hydronium or hydroxide, which
#              no step lists. A concession, reported rather than assumed.
# step         the route and index the verdict was reached on.
# missing      declared products of that step the row did not make, canonical
#              SMILES, comma-joined. Empty on a pass.
# reading      written, or engine when the verdict needed the step read the way
#              the engine holds it -- a salt as its ions, a stereoisomer flat.
#
# The `#!` keys at the foot are derived from the rows above, never typed.
# `missing_because_salt` and `missing_because_stereo` are the two systematic
# walls: the catalog spells a precipitated salt as one species where the engine
# holds its ions, and it declares a stereoisomer where a template emits the flat
# species. An extractor writing literal rows off this corpus meets both.

fischer_esterification | partial | 3 | no | esterification | pet-route:1 | O=C(OCCO)c1ccc(C(=O)OCCO)cc1 | written
nitro_hydrogenation | pass | 1 | no | nitro-hydrogenation | aniline-route:2 |  | written
halogen_disproportionation | pass | 1 | no | disproportionation | bleaching-powder:1 |  | engine
ammonia_synthesis | pass | 1 | no | catalytic-gas-synthesis | haber-bosch:1 |  | written
methanol_from_carbon_monoxide | pass | 2 | no | catalytic-gas-synthesis | methanol-synthesis:1 |  | written
methanol_from_carbon_dioxide | pass | 3 | no | catalytic-gas-synthesis | methanol-synthesis:2 |  | written
water_gas_shift | pass | 1 | no | water-gas-shift | water-gas-shift:1 |  | written
steam_reforming | pass | 1 | no | steam-reforming | steam-reforming:1 |  | written
deacon_oxidation | pass | 1 | no | catalytic-hydrogen-chloride-oxidation | deacon-process:1 |  | written
hydrogen_sulfide_combustion | pass | 1 | no | hydrogen-sulfide-combustion | claus-process:1 |  | written
claus_comproportionation | pass | 1 | no | comproportionation | claus-process:2 |  | written
hydroformylation_linear | pass | 1 | no | hydroformylation | oxo-process:1 |  | written
hydroformylation_branched | pass | 2 | no | hydroformylation | oxo-process:2 |  | written
wacker_oxidation | pass | 1 | no | wacker-oxidation | wacker-process:1 |  | written
skraup_cyclisation | pass | 1 | yes | skraup-cyclisation | skraup-route:2 |  | written
alkene_isomerisation | pass | 1 | no | alkene-isomerisation | vanillin-eugenol:1 |  | engine
oxidative_cleavage | pass | 1 | no | oxidative-cleavage | vanillin-eugenol:2 |  | written
ethanolic_fermentation | no-class | 0 |  |  |  |  | 
butanolic_fermentation | no-class | 0 |  |  |  |  | 
acetonic_fermentation | partial | 1 | yes | solventogenic-fermentation | abe-fermentation:1 | CCCCO,CCO | written
homolactic_fermentation | pass | 1 | no | homolactic-fermentation | lactic-acid-pla:1 |  | engine
ketofuranose_dehydration | pass | 2 | no | dehydration-cyclisation | hmf-route:1 |  | written
aldofuranose_dehydration | pass | 1 | no | dehydration-cyclisation | furfural-route:2 |  | written
hydroxymethylfurfural_rehydration | pass | 1 | no | hydration-ring-opening | hmf-route:2 |  | written
water_electrolysis | partial | 2 | no | electro-organic-coupling | adiponitrile-route:1 | N#CCCCCC#N | written
halide_electrolysis | pass | 1 | no | aqueous-electrolysis | chloralkali:1 |  | engine
kolbe_electrolysis | pass | 2 | no | electro-organic-coupling | kolbe-electrolysis:1 |  | engine
alkene_hydrodimerisation | no-substrate | 2 | no | electro-organic-coupling | adiponitrile-route:1 |  | written
water_autoionization | wrong-product | 15 | no | proton-transfer | solvay-process:4 | N,O,[Ca+2].[Cl-].[Cl-] | written
carboxylic_acid_dissociation | partial | 15 | yes | proton-transfer | msg-route:2 | O | engine
phenol_dissociation | partial | 15 | yes | proton-transfer | salicylic-kolbe:1 | O | engine
hydrogen_halide_dissociation | partial | 15 | yes | proton-transfer | phenol-dow:3 | Oc1ccccc1 | engine
mineral_oxyacid_dissociation | partial | 15 | yes | proton-transfer | phenol-sulfonation:3 | Oc1ccccc1 | engine
amine_protonation | partial | 15 | yes | proton-transfer | nylon6-route:3 | O=S(=O)([O-])[O-] | engine
sulfide_protonation | no-substrate | 15 | no | proton-transfer | solvay-process:4 |  | written
hydrosulfide_protonation | no-substrate | 15 | no | proton-transfer | solvay-process:4 |  | written
methane_ammoxidation | pass | 1 | no | ammoxidation | andrussow:1 |  | written
allylic_ammoxidation | pass | 2 | no | ammoxidation | acrylonitrile-sohio:1 |  | written
intramolecular_williamson | pass | 1 | no | intramolecular-williamson | chlorohydrin-route:2 |  | engine
alcohol_halide_substitution | pass | 1 | no | nucleophilic-substitution | monsanto-acetic:1 |  | written
carbanion_alkylation | pass | 4 | no | nucleophilic-substitution | malonic-ester-synthesis:2 |  | written
amide_methylolation | pass | 2 | no | nucleophilic-addition | urea-formaldehyde-route:1 |  | written
ketene_acid_addition | pass | 1 | no | nucleophilic-addition | acetic-anhydride-ketene:2 |  | written
cyanide_imine_addition | pass | 3 | no | nucleophilic-addition | strecker-amino-acid:2 |  | written
nitrate_esterification | partial | 3 | no | esterification-nitration | nitroglycerin-route:1 | O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-] | written
catalytic_sulfur_dioxide_oxidation_contact_process_2 | pass | 1 | no | catalytic-sulfur-dioxide-oxidation | contact-process:2 |  | written
acid_anhydride_absorption_contact_process_3 | pass | 1 | no | acid-anhydride-absorption | contact-process:3 |  | written
oleum_hydrolysis_contact_process_4 | pass | 1 | no | oleum-hydrolysis | contact-process:4 |  | written
sulfide_carbonation_leblanc_process_4 | pass | 1 | no | sulfide-carbonation | leblanc-process:4 |  | engine
carbonate_equilibrium_solvay_process_1 | pass | 1 | no | carbonate-equilibrium | solvay-process:1 |  | engine
thermal_fixation_birkeland_eyde_1 | pass | 1 | no | thermal-fixation | birkeland-eyde:1 |  | written
slagging_blast_furnace_5 | pass | 1 | no | slagging | blast-furnace:5 |  | engine
nitronium_generation_benzene_nitration_1 | pass | 1 | no | nitronium-generation | benzene-nitration:1 |  | written
electrophilic_aromatic_sulfonation_alizarin_route_2 | pass | 2 | no | electrophilic-aromatic-sulfonation | alizarin-route:2 |  | written
n_alkylation_indigo_heumann_1 | pass | 1 | no | n-alkylation | indigo-heumann:1 |  | written
oxidative_dimerisation_indigo_heumann_3 | pass | 1 | no | oxidative-dimerisation | indigo-heumann:3 |  | engine
friedel_crafts_alkylation_phenol_cumene_1 | pass | 1 | no | friedel-crafts-alkylation | phenol-cumene:1 |  | written
autoxidation_phenol_cumene_2 | pass | 1 | no | autoxidation | phenol-cumene:2 |  | written
hock_rearrangement_phenol_cumene_3 | pass | 1 | no | hock-rearrangement | phenol-cumene:3 |  | written
electrophilic_aromatic_halogenation_phenol_dow_1 | pass | 1 | no | electrophilic-aromatic-halogenation | phenol-dow:1 |  | written
electrophilic_aromatic_sulfonation_phenol_sulfonation_1 | pass | 3 | no | electrophilic-aromatic-sulfonation | phenol-sulfonation:1 |  | written
electrophilic_hydroxymethylation_bakelite_route_1 | pass | 1 | no | electrophilic-hydroxymethylation | bakelite-route:1 |  | written
nitro_partial_hydrogenation_paracetamol_route_1 | pass | 1 | no | nitro-partial-hydrogenation | paracetamol-route:1 |  | written
sulfonamide_formation_sulfa_drug_route_3 | pass | 1 | no | sulfonamide-formation | sulfa-drug-route:3 |  | engine
azo_coupling_prontosil_route_2 | pass | 2 | no | azo-coupling | prontosil-route:2 |  | engine
amide_hydrolysis_penicillin_route_2 | pass | 2 | no | amide-hydrolysis | penicillin-route:2 |  | written
amide_coupling_penicillin_route_3 | pass | 1 | no | amide-coupling | penicillin-route:3 |  | engine
carbonyl_hydration_chloral_route_2 | pass | 1 | no | carbonyl-hydration | chloral-route:2 |  | written
swarts_halogen_exchange_freon_route_1 | pass | 1 | no | swarts-halogen-exchange | freon-route:1 |  | written
swarts_halogen_exchange_ptfe_route_1 | pass | 2 | no | swarts-halogen-exchange | ptfe-route:1 |  | written
pyrolysis_ptfe_route_2 | pass | 1 | no | pyrolysis | ptfe-route:2 |  | written
carbonylation_monsanto_acetic_2 | pass | 1 | no | carbonylation | monsanto-acetic:2 |  | written
pyrolysis_dehydration_acetic_anhydride_ketene_1 | pass | 1 | no | pyrolysis-dehydration | acetic-anhydride-ketene:1 |  | written
carbide_hydrolysis_calcium_carbide_2 | pass | 1 | no | carbide-hydrolysis | calcium-carbide:2 |  | engine
catalytic_epoxidation_ethylene_oxide_route_1 | pass | 1 | no | catalytic-epoxidation | ethylene-oxide-route:1 |  | written
halohydrin_formation_chlorohydrin_route_1 | pass | 1 | no | halohydrin-formation | chlorohydrin-route:1 |  | written
epoxide_hydrolysis_ethylene_glycol_route_1 | pass | 1 | no | epoxide-hydrolysis | ethylene-glycol-route:1 |  | written
epoxide_alkoxylation_ethylene_glycol_route_2 | pass | 1 | no | epoxide-alkoxylation | ethylene-glycol-route:2 |  | written
oxime_formation_nylon6_route_1 | pass | 1 | no | oxime-formation | nylon6-route:1 |  | written
halogen_addition_vinyl_chloride_route_1 | pass | 1 | no | halogen-addition | vinyl-chloride-route:1 |  | written
dehydrohalogenation_vinyl_chloride_route_3 | pass | 1 | no | dehydrohalogenation | vinyl-chloride-route:3 |  | written
friedel_crafts_alkylation_styrene_route_1 | pass | 2 | no | friedel-crafts-alkylation | styrene-route:1 |  | written
catalytic_dehydrogenation_styrene_route_2 | pass | 1 | no | catalytic-dehydrogenation | styrene-route:2 |  | written
cyanohydrin_formation_mma_ach_1 | pass | 1 | no | cyanohydrin-formation | mma-ach:1 |  | written
ritter_type_hydration_mma_ach_2 | pass | 1 | no | ritter-type-hydration | mma-ach:2 |  | engine
allylic_chlorination_epoxy_route_1 | pass | 1 | no | allylic-chlorination | epoxy-route:1 |  | written
halohydrin_formation_epoxy_route_2 | pass | 2 | no | halohydrin-formation | epoxy-route:2 |  | written
condensation_mdi_route_1 | pass | 2 | no | condensation | mdi-route:1 |  | written
urea_deammoniation_melamine_route_1 | pass | 1 | no | urea-deammoniation | melamine-route:1 |  | written
direct_process_silicone_route_1 | pass | 1 | no | direct-process | silicone-route:1 |  | written
hydrolysis_condensation_silicone_route_2 | pass | 1 | no | hydrolysis-condensation | silicone-route:2 |  | written
alkyne_dimerisation_neoprene_route_1 | pass | 1 | no | alkyne-dimerisation | neoprene-route:1 |  | written
hydrohalogenation_neoprene_route_2 | pass | 1 | no | hydrohalogenation | neoprene-route:2 |  | written
dehydration_dehydrogenation_buna_rubber_1 | pass | 1 | no | dehydration-dehydrogenation | buna-rubber:1 |  | written
aldol_condensation_2_ethylhexanol_route_1 | pass | 1 | no | aldol-condensation | 2-ethylhexanol-route:1 |  | engine
enal_hydrogenation_2_ethylhexanol_route_2 | pass | 1 | no | enal-hydrogenation | 2-ethylhexanol-route:2 |  | written
decarboxylation_ethanol_fermentation_3 | pass | 1 | no | decarboxylation | ethanol-fermentation:3 |  | written
isomerisation_starch_hydrolysis_3 | pass | 2 | no | isomerisation | starch-hydrolysis:3 |  | written
decarbonylation_furfural_route_3 | pass | 1 | no | decarbonylation | furfural-route:3 |  | written
arene_hydrogenation_furfural_route_4 | pass | 1 | no | arene-hydrogenation | furfural-route:4 |  | written
electrophilic_hydroxyalkylation_vanillin_guaiacol_1 | pass | 1 | no | electrophilic-hydroxyalkylation | vanillin-guaiacol:1 |  | written
skeletal_isomerisation_camphor_route_1 | pass | 1 | no | skeletal-isomerisation | camphor-route:1 |  | engine
markovnikov_addition_camphor_route_2 | pass | 1 | no | markovnikov-addition | camphor-route:2 |  | engine
leuco_dye_oxidation_indigo_natural_4 | pass | 2 | no | leuco-dye-oxidation | indigo-natural:4 |  | engine
imine_formation_strecker_amino_acid_1 | pass | 1 | no | imine-formation | strecker-amino-acid:1 |  | written
imide_deprotonation_gabriel_synthesis_1 | pass | 1 | no | imide-deprotonation | gabriel-synthesis:1 |  | engine
hydrazinolysis_gabriel_synthesis_3 | pass | 1 | no | hydrazinolysis | gabriel-synthesis:3 |  | written
decarboxylation_malonic_ester_synthesis_4 | pass | 2 | no | decarboxylation | malonic-ester-synthesis:4 |  | written
oxidative_insertion_grignard_route_1 | pass | 1 | no | oxidative-insertion | grignard-route:1 |  | written
wittig_olefination_wittig_route_3 | pass | 1 | no | wittig-olefination | wittig-route:3 |  | written
diels_alder_cycloaddition_diels_alder_route_1 | pass | 1 | no | diels-alder-cycloaddition | diels-alder-route:1 |  | written
diels_alder_cycloaddition_diels_alder_route_2 | pass | 2 | no | diels-alder-cycloaddition | diels-alder-route:2 |  | written
carbanion_generation_aldol_route_1 | pass | 4 | no | carbanion-generation | aldol-route:1 |  | written
claisen_condensation_claisen_route_2 | pass | 1 | no | claisen-condensation | claisen-route:2 |  | written
beckmann_rearrangement_beckmann_route_2 | pass | 2 | no | beckmann-rearrangement | beckmann-route:2 |  | written
hofmann_rearrangement_hofmann_route_2 | pass | 1 | no | hofmann-rearrangement | hofmann-route:2 |  | engine
isocyanate_hydrolysis_hofmann_route_3 | pass | 1 | no | isocyanate-hydrolysis | hofmann-route:3 |  | written
nucleophilic_acyl_substitution_curtius_route_1 | pass | 1 | no | nucleophilic-acyl-substitution | curtius-route:1 |  | written
curtius_rearrangement_curtius_route_2 | pass | 1 | no | curtius-rearrangement | curtius-route:2 |  | written
sandmeyer_substitution_sandmeyer_route_2 | pass | 1 | no | sandmeyer-substitution | sandmeyer-route:2 |  | written
alpha_elimination_reimer_tiemann_1 | pass | 1 | no | alpha-elimination | reimer-tiemann:1 |  | engine
hydrazone_formation_fischer_indole_1 | pass | 1 | no | hydrazone-formation | fischer-indole:1 |  | written
michael_addition_michael_robinson_1 | pass | 1 | no | michael-addition | michael-robinson:1 |  | written
haloform_cleavage_haloform_iodoform_2 | pass | 1 | no | haloform-cleavage | haloform-iodoform:2 |  | engine

#! pass = 131
#! partial = 10
#! wrong-product = 1
#! no-fire = 0
#! no-substrate = 3
#! no-runnable-step = 0
#! no-class = 2
#! steps_tried = 298
#! through_the_medium = 7
#! in_the_engine_reading = 36
#! missing_because_salt = 0
#! missing_because_stereo = 0
#! missing_because_other = 11
