# CATALOG STEPS THE EXTRACTOR REFUSED -- GENERATED, do not edit.
#
#   python tools/extract_templates.py
#
# Columns: route | step | class | reason | detail
#
# Every step whose class has no template and which tools/extract_templates.py
# did not turn into a row, with the reason. That tool's docstring says how v2
# reads through the salt and stereo walls, and where it still refuses.
#
# The `#!` keys at the foot are derived from the rows above, never typed.

lead-chamber | 4 | nitrosation | stoichiometry | the only balance sets a species to zero or negative
claisen-route | 1 | carbanion-generation | stoichiometry | no coefficient vector: the elements do not balance
friedel-crafts-route | 1 | lewis-acid-activation | stoichiometry | no coefficient vector: the elements do not balance
friedel-crafts-route | 2 | friedel-crafts-acylation | stoichiometry | no coefficient vector: the elements do not balance
beckmann-route | 1 | oxime-formation | duplicate | another step of this corpus extracts the same rewrite
hofmann-route | 1 | n-halogenation | stoichiometry | no coefficient vector: the elements do not balance
curtius-route | 3 | isocyanate-hydrolysis | duplicate | another step of this corpus extracts the same rewrite
sandmeyer-route | 1 | diazotisation | slots | 4 reactant and 5 product slots
reimer-tiemann | 2 | electrophilic-formylation | stoichiometry | no coefficient vector: the elements do not balance
fischer-indole | 2 | fischer-indolisation | stoichiometry | no coefficient vector: the elements do not balance
hantzsch-pyridine | 1 | multicomponent-condensation | coefficients | a coefficient of 3 is more slots than a rewrite can carry: {'ethyl-acetoacetate': 2, 'acetaldehyde': 1, 'ammonia': 1, 'hantzsch-dihydropyridine': 1, 'water': 3}
hantzsch-pyridine | 2 | oxidative-aromatisation | stoichiometry | no coefficient vector: the elements do not balance
mannich-route | 1 | iminium-formation | stoichiometry | no coefficient vector: the elements do not balance
mannich-route | 2 | mannich-reaction | stoichiometry | no coefficient vector: the elements do not balance
michael-robinson | 2 | intramolecular-aldol | stoichiometry | no coefficient vector: the elements do not balance
wohler-urea | 2 | isomerisation | salt | a salt in a furnace or melt is a lattice, not a pair of ions, and the engine turns a lattice into ions nowhere yet (E1)
haloform-iodoform | 1 | alpha-halogenation | coefficients | a coefficient of 3 is more slots than a rewrite can carry: {'CC(C)=O': 1, 'II': 3, '[OH-]': 3, 'CC(=O)C(I)(I)I': 1, '[I-]': 3, 'O': 3}
fehling-test | 1 | metal-ion-aldehyde-oxidation | stoichiometry | no coefficient vector: the elements do not balance
tollens-test | 1 | metal-ion-aldehyde-oxidation | stoichiometry | no coefficient vector: the elements do not balance
marsh-test | 1 | dissolving-metal-reduction | stoichiometry | the balance is not unique -- 2 independent coefficient vectors, so the row does not determine its own stoichiometry
marsh-test | 2 | hydride-thermal-deposition | coefficients | a coefficient of 3 is more slots than a rewrite can carry: {'arsine': 2, 'arsenic': 2, 'hydrogen': 3}
kjeldahl | 1 | oxidative-digestion | stoichiometry | the only balance sets a species to zero or negative

#! centre = 6
#! closed-cycle = 5
#! coefficients = 34
#! duplicate = 5
#! net-ionic-empty = 3
#! no-graph = 10
#! salt = 10
#! slots = 7
#! stoichiometry = 74
#! refused = 154
#! classes_refused = 117
